decade,rank,genre,movie_count,average_popularity,total_popularity,average_budget,average_revenue,average_profit_per_movie,total_profit
1920s,1,Thriller,97,1.8931329896907219,183.6339,31383.505154639177,51113.51546391752,19730.01030927835,1913811
1920s,2,Fantasy,161,1.845635403726708,297.1473,30921.329192546586,15201.695652173914,-15719.633540372672,-2530861
1920s,3,Horror,188,1.7542127659574467,329.792,13101.856382978724,25624.547872340427,12522.691489361701,2354266
1920s,4,Science Fiction,56,1.691542857142857,94.7264,23214.285714285714,11614.67857142857,-11599.607142857143,-649578
1920s,5,Family,106,1.5653622641509435,165.9284,323.95283018867923,0.0,-323.95283018867923,-34339
1930s,1,Science Fiction,89,2.8769101123595506,256.045,31712.101123595505,171910.11235955055,140198.01123595505,12477623
1930s,2,Horror,226,2.742966371681416,619.9104,76656.13274336283,146521.6814159292,69865.54867256636,15789614
1930s,3,Fantasy,177,2.5927587570621466,458.9183,115245.27118644067,1320673.6723163843,1205428.4011299436,213360827
1930s,4,Thriller,282,2.3589730496453902,665.2304,21091.248226950356,3697.482269503546,-17393.76595744681,-4905042
1930s,5,Family,353,2.053790651558074,724.9881,23547.926345609067,634120.2634560907,610572.3371104816,215532035
1940s,1,Thriller,508,3.610009842519685,1833.885,295695.37598425196,887900.8523622047,592205.4763779527,300840382
1940s,2,Science Fiction,71,3.1675774647887325,224.898,53959.718309859156,74913.04225352113,20953.323943661973,1487686
1940s,3,Horror,219,2.909310502283105,637.139,79846.48401826483,65624.06392694064,-14222.4200913242,-3114710
1940s,4,Mystery,626,2.802526357827476,1754.3815,54370.755591054316,185107.24121405752,130736.4856230032,81841040
1940s,5,Fantasy,259,2.670828957528957,691.7447,109316.00386100386,124116.50193050194,14800.49806949807,3833329
1950s,1,Science Fiction,329,4.100841033434651,1349.1767,144102.76899696048,264160.9179331307,120058.14893617021,39499131
1950s,2,Horror,438,3.0119011415525114,1319.2127,77172.96803652968,176618.5890410959,99445.62100456622,43557182
1950s,3,Thriller,755,2.9584243708609272,2233.6104,78959.70198675497,401714.7814569537,322755.07947019866,243680085
1950s,4,Western,938,2.9136431769722813,2732.9973,61922.39552238806,142621.7078891258,80699.31236673774,75695955
1950s,5,Mystery,456,2.5158508771929826,1147.228,96789.70394736843,273639.03728070174,176849.33333333334,80643296
1960s,1,Western,840,3.4388216666666667,2888.6102,175634.86666666667,541315.0678571429,365680.2011904762,307171369
1960s,2,Thriller,1141,2.9505906222611746,3366.6239,149038.06310254164,860890.4794040315,711852.4163014899,812223607
1960s,3,Science Fiction,632,2.9222870253164555,1846.8854,97629.01898734177,307911.24208860757,210282.22310126582,132898365
1960s,4,Horror,973,2.711624974306269,2638.4111,20575.393627954778,135431.9475847893,114856.55395683453,111755427
1960s,5,Adventure,1736,2.5558937788018437,4437.0316,203779.60368663594,982618.6526497696,778839.0489631336,1352064589
1970s,1,Science Fiction,838,3.6113976133651553,3026.3512,481532.1002386635,3326051.807875895,2844519.7076372313,2383707515
1970s,2,Thriller,1896,3.485010864978903,6607.5806,301234.8111814346,1843793.387658228,1542558.5764767933,2924691061
1970s,3,Horror,1962,3.1365510193679915,6153.9131,89938.35830784914,1104917.504587156,1014979.1462793068,1991389085
1970s,4,Mystery,929,3.07445565123789,2856.1693,211442.28848223898,962776.0021528525,751333.7136706136,697989020
1970s,5,Western,718,2.9249373259052924,2100.105,204319.92896935935,697479.0222841225,493159.0933147632,354088229
