decade,rank,genre,movie_count,average_budget,average_revenue,average_profit_per_movie,total_profit
1920s,1,Drama,4982,6923.916499397832,20679.049578482536,13755.133079084704,68528073
1920s,2,Romance,1282,21487.571762870513,51433.200468018724,29945.628705148207,38390296
1920s,3,War,161,28484.47204968944,175543.77639751552,147059.30434782608,23676548
1920s,4,Music,181,30817.60220994475,145464.08839779007,114646.48618784531,20751014
1920s,5,Adventure,645,20792.55968992248,35793.90542635659,15001.345736434108,9675868
1930s,1,Drama,5298,21834.27878444696,108640.97829369573,86806.69950924878,459901894
1930s,2,Romance,2123,43576.27790861988,248222.91851154028,204646.6406029204,434464818
1930s,3,War,328,65123.48170731707,1309001.7652439023,1243878.2835365853,407992077
1930s,4,Family,353,23547.926345609067,634120.2634560907,610572.3371104816,215532035
1930s,5,Fantasy,177,115245.27118644067,1320673.6723163843,1205428.4011299436,213360827
1940s,1,Drama,4786,33681.52277475972,144658.1681989135,110976.64542415379,531134225
1940s,2,Family,458,46923.37554585153,1156509.1419213973,1109585.7663755459,508190281
1940s,3,Animation,1961,5910.746557878633,253314.82355940845,247404.07700152983,485159395
1940s,4,War,1061,37738.183788878414,321364.34872761543,283626.16493873706,300927361
1940s,5,Thriller,508,295695.37598425196,887900.8523622047,592205.4763779527,300840382
1950s,1,Romance,2073,104881.88422575977,467176.7766521949,362294.89242643514,751037312
1950s,2,Drama,8104,39068.52887462981,127312.25703356367,88243.72815893385,715127173
1950s,3,Family,997,70490.8926780341,655558.4152457372,585067.5225677032,583312320
1950s,4,Fantasy,457,64551.45514223195,1169591.1094091905,1105039.6542669584,505003122
1950s,5,Adventure,1142,130785.49124343258,566238.3887915937,435452.8975481611,497287209
1960s,1,Drama,11483,67518.17033876164,195548.64904641645,128030.4787076548,1470173987
1960s,2,Adventure,1736,203779.60368663594,982618.6526497696,778839.0489631336,1352064589
1960s,3,Comedy,6620,57668.921903323266,222415.76193353476,164746.8400302115,1090624081
1960s,4,Romance,2346,208913.89940323954,629356.5059676045,420442.60656436486,986358355
1960s,5,Action,1878,106926.63099041533,579498.4259850906,472571.7949946752,887489831
1970s,1,Drama,15159,76300.64733821493,382139.4388811927,305838.7915429778,4636210241
1970s,2,Action,3234,184485.67996289424,1480460.3899196042,1295974.70995671,4191182212
1970s,3,Adventure,1970,327119.8624365482,2019864.307106599,1692744.4446700509,3334706556
1970s,4,Comedy,8059,127245.28043181536,533003.4123340364,405758.1319022211,3270004785
1970s,5,Thriller,1896,301234.8111814346,1843793.387658228,1542558.5764767933,2924691061
1980s,1,Comedy,9854,446197.1386239091,1696243.1237061091,1250045.9850822,12317953137
1980s,2,Action,4223,777982.9294340516,2969557.945773147,2191575.0163390953,9255021294
1980s,3,Drama,17384,244378.61326507133,714907.9357455131,470529.32248044177,8179681742
1980s,4,Adventure,2072,1420410.6911196911,5288355.02992278,3867944.3388030888,8014380670
1980s,5,Romance,3246,586779.4876771411,2106743.09211337,1519963.6044362292,4933801860
1990s,1,Drama,17577,962278.4847812483,2261567.5381464413,1299289.053365193,22837603691
1990s,2,Comedy,11075,1230544.130744921,3118181.454717833,1887637.323972912,20905583363
1990s,3,Action,5546,2427278.307789398,5576042.45961053,3148764.1518211323,17463045986
1990s,4,Adventure,1932,5046799.942546584,13474535.857660456,8427735.915113872,16282385788
1990s,5,Romance,4399,1513373.1482155034,4811165.465560354,3297792.3173448513,14506988404
2000s,1,Action,6617,4753014.364969019,11972841.678857489,7219827.313888469,47773597336
2000s,2,Adventure,2856,9695248.75665266,26153514.717436973,16458265.960784314,47004807584
2000s,3,Comedy,18707,1615719.1076067782,3894341.264393008,2278622.15678623,42626184687
2000s,4,Fantasy,2740,5474026.553649635,16195390.285766423,10721363.732116789,29376536626
2000s,5,Drama,27383,1185916.8584158055,2232743.5371580906,1046826.6787422854,28665254944
2010s,1,Adventure,5811,7806942.380657374,25978895.75718465,18171953.376527276,105597221071
2010s,2,Action,11583,4381951.856513857,12870731.735819736,8488779.879305879,98325537342
2010s,3,Comedy,37122,827158.6339906255,2619122.397042185,1791963.7630515597,66521278812
2010s,4,Science Fiction,6896,3302880.218822506,10848149.754205337,7545269.535382831,52032178716
2010s,5,Fantasy,6945,3311124.0417566593,10377931.72325414,7066807.68149748,49078979348
before_1920s,1,Drama,5666,3240.812036710201,27506.49188139781,24265.67984468761,137489342
before_1920s,2,War,337,890.2077151335311,329376.85459940654,328486.646884273,110700000
before_1920s,3,Mystery,187,0.0,534759.3582887701,534759.3582887701,100000000
before_1920s,4,Horror,276,0.0,362318.84057971014,362318.84057971014,100000000
before_1920s,5,Thriller,241,4.149377593360996,414937.7593360996,414933.60995850625,99999000
current_decade,1,Action,10237,2409890.965712611,5113602.207775716,2703711.2420631046,27677891985
current_decade,2,Adventure,4866,3567254.4907521578,8322935.18865598,4755680.697903822,23141142276
current_decade,3,Drama,58669,256812.17525439328,605728.201452215,348916.02619782166,20470554341
current_decade,4,Comedy,32625,383996.51742528734,957728.7280306513,573732.210605364,18718013371
current_decade,5,Fantasy,7137,1307357.1794871795,2930685.729438139,1623328.5499509599,11585695861
