decade,total_movies,total_profit,average_profit_per_movie,average_budget
us_before_1920s,15,37471762,2498117.466666667,291738.06666666665
us_1920s,48,83147525,1732240.1041666667,546968.6041666666
us_1930s,114,772051601,6772382.46491228,816861.5964912281
us_1940s,146,1089136157,7459836.691780822,2209484.6369863013
us_1950s,166,1577087953,9500529.837349398,2166854.5843373495
us_1960s,168,2711060826,16137266.82142857,5089099.666666667
us_1970s,269,10170564194,37808788.82527881,5614169.085501859
us_1980s,738,22724015465,30791348.868563686,12588891.604336044
us_1990s,1220,51102892265,41887616.61065574,28061633.17377049
us_2000s,1900,105843517884,55707114.675789475,36484762.53315789
us_2010s,2058,181599777076,88240902.36929058,39332862.85860059
us_current_decade,682,33493919867,49111319.45307918,31476024.008797653
