decade,rank,genre,movie_count,average_popularity,total_popularity,average_budget,average_revenue,average_profit_per_movie,total_profit
us_1920s,1,Horror,57,2.352859649,134.113,"$36,178.05","$58,342.98","$22,164.93","$1,263,401.00"
us_1920s,2,Family,66,2.12709697,140.3884,$520.29,$0.00,-$520.29,"-$34,339.00"
us_1920s,3,Thriller,47,1.833291489,86.1647,"$60,919.15","$74,153.19","$13,234.04","$622,000.00"
us_1920s,4,Fantasy,48,1.628458333,78.166,"$103,465.29","$50,592.06","-$52,873.23","-$2,537,915.00"
us_1920s,5,War,61,1.611816393,98.3208,"$75,180.33","$461,934.43","$386,754.10","$23,592,000.00"
us_1930s,1,Horror,107,4.770535514,510.4473,"$68,451.27","$309,475.70","$241,024.43","$25,789,614.00"
us_1930s,2,Fantasy,78,4.613991026,359.8913,"$132,044.54","$2,992,057.09","$2,860,012.55","$223,080,979.00"
us_1930s,3,Science Fiction,51,3.822411765,194.943,"$55,340.73","$300,000.00","$244,659.27","$12,477,623.00"
us_1930s,4,War,118,3.273372881,386.258,"$140,783.33","$3,638,581.18","$3,497,797.85","$412,740,146.00"
us_1930s,5,History,121,2.954561983,357.502,"$171,099.17","$175,099.17","$4,000.00","$484,000.00"
us_1940s,1,Thriller,351,4.311689459,1513.403,"$410,891.51","$1,281,124.14","$870,232.63","$305,451,654.00"
us_1940s,2,Horror,122,4.307459016,525.51,"$143,330.98","$117,800.57","-$25,530.41","-$3,114,710.00"
us_1940s,3,Fantasy,116,4.197637931,486.926,"$237,316.16","$269,911.62","$32,595.46","$3,781,073.00"
us_1940s,4,Science Fiction,54,3.74962963,,"$70,947.04","$98,496.78","$27,549.74","$1,487,686.00"
us_1940s,5,Family,307,3.27727785,1006.1243,"$70,002.95","$1,725,339.07","$1,655,336.11","$508,188,187.00"
us_1950s,1,Fantasy,96,5.552,532.992,"$291,323.07","$5,535,979.85","$5,244,656.78","$503,487,051.00"
us_1950s,2,Science Fiction,212,4.96124717,1051.7844,"$214,336.75","$346,099.06","$131,762.31","$27,933,609.00"
us_1950s,3,History,124,4.953141129,614.1895,"$793,483.87","$3,723,954.13","$2,930,470.26","$363,378,312.00"
us_1950s,4,Romance,577,4.926853899,2842.7947,"$369,211.06","$1,601,121.01","$1,231,909.94","$710,812,037.00"
us_1950s,5,Horror,167,4.837411377,807.8477,"$187,109.61","$361,215.57","$174,105.96","$29,075,695.00"
us_1960s,1,History,64,7.7151875,493.772,"$3,116,750.00","$4,383,311.97","$1,266,561.97","$81,059,966.00"
us_1960s,2,Romance,312,5.87175641,1831.988,"$1,157,192.67","$4,386,797.38","$3,229,604.71","$1,007,636,670.00"
us_1960s,3,Western,284,5.467623239,1552.805,"$516,395.07","$1,496,768.94","$980,373.88","$278,426,181.00"
us_1960s,4,War,171,5.439908772,930.2244,"$1,011,028.00","$2,491,626.75","$1,480,598.75","$253,182,386.00"
us_1960s,5,Adventure,279,5.391768459,1504.3034,"$883,349.82","$3,595,986.05","$2,712,636.23","$756,825,509.00"
us_1970s,1,Science Fiction,280,6.439593929,1803.0863,"$1,125,871.07","$7,877,818.23","$6,751,947.16","$1,890,545,205.00"
us_1970s,2,War,94,5.994319149,563.466,"$2,301,329.79","$7,150,841.26","$4,849,511.47","$455,854,078.00"
us_1970s,3,History,90,5.424066667,488.166,"$1,767,612.22","$4,391,813.67","$2,624,201.44","$236,178,130.00"
us_1970s,4,Adventure,389,5.379762982,2092.7278,"$1,331,352.19","$8,860,852.77","$7,529,500.58","$2,928,975,726.00"
us_1970s,5,Thriller,594,5.125234007,3044.389,"$763,092.19","$4,840,902.81","$4,077,810.62","$2,422,219,511.00"
us_1980s,1,War,140,8.529477143,1194.1268,"$3,735,716.27","$11,358,297.28","$7,622,581.01","$1,067,161,341.00"
us_1980s,2,Adventure,483,8.402379503,4058.3493,"$5,146,225.11","$20,070,419.48","$14,924,194.37","$7,208,385,882.00"
us_1980s,3,Romance,605,6.865738017,4153.7715,"$2,937,961.63","$10,992,803.70","$8,054,842.06","$4,873,179,449.00"
us_1980s,4,Science Fiction,545,6.684886055,3643.2629,"$3,241,381.23","$10,898,552.80","$7,657,171.57","$4,173,158,503.00"
us_1980s,5,Thriller,857,6.536490432,5601.7723,"$2,598,694.74","$7,426,480.85","$4,827,786.11","$4,137,412,696.00"
us_1990s,1,Adventure,715,8.588223217,6140.5796,"$12,683,371.31","$34,678,356.60","$21,994,985.29","$15,726,414,479.00"
us_1990s,2,War,114,6.977988596,795.4907,"$8,014,912.72","$20,346,027.54","$12,331,114.82","$1,405,747,090.00"
us_1990s,3,Crime,1097,6.653077575,7298.4261,"$6,055,186.24","$12,932,745.89","$6,877,559.65","$7,544,682,937.00"
us_1990s,4,Mystery,510,6.613985882,3373.1328,"$7,180,235.88","$16,564,899.65","$9,384,663.77","$4,786,178,522.00"
us_1990s,5,Family,1006,6.321479125,6359.408,"$5,213,720.43","$14,400,591.00","$9,186,870.56","$9,241,991,786.00"
us_2000s,1,Adventure,987,13.18501449,13013.6093,"$25,310,994.01","$70,537,077.95","$45,226,083.94","$44,638,144,846.00"
us_2000s,2,Fantasy,819,10.75235519,8806.1789,"$16,585,530.86","$50,106,697.88","$33,521,167.02","$27,453,835,790.00"
us_2000s,3,War,213,8.606585446,1833.2027,"$17,715,142.33","$28,634,701.66","$10,919,559.33","$2,325,866,137.00"
us_2000s,4,Crime,1128,7.998367553,9022.1586,"$10,121,466.38","$20,233,704.64","$10,112,238.25","$11,406,604,749.00"
us_2000s,5,Family,1443,7.987027096,11525.2801,"$9,537,151.37","$24,589,442.59","$15,052,291.22","$21,720,456,237.00"
us_2010s,1,Adventure,1651,11.03695482,18222.0124,"$24,708,685.42","$85,080,052.96","$60,371,367.54","$99,673,127,807.00"
us_2010s,2,Action,3249,8.275777378,26888.0007,"$13,402,744.36","$39,828,953.28","$26,426,208.92","$85,858,752,794.00"
us_2010s,3,Family,1985,6.708355164,13316.085,"$8,858,605.57","$31,153,055.34","$22,294,449.77","$44,254,482,796.00"
us_2010s,4,Fantasy,1700,6.423071412,10919.2214,"$11,528,685.64","$37,128,697.87","$25,600,012.24","$43,520,020,800.00"
us_2010s,5,Thriller,4320,6.369667106,27516.9619,"$4,466,259.71","$11,943,062.51","$7,476,802.80","$32,299,788,105.00"
us_before_1920s,1,Science Fiction,18,1.333444444,24.002,"$11,111.11","$444,444.44","$433,333.33","$7,800,000.00"
us_before_1920s,2,Family,23,1.329086957,30.569,$1.00,$0.00,-$1.00,-$23.00
us_before_1920s,3,History,90,1.237972222,111.4175,"$7,020.30","$141,666.67","$134,646.37","$12,118,173.00"
us_before_1920s,4,Fantasy,102,1.165143137,118.8446,"$31,608.07","$70,254.90","$38,646.83","$3,941,977.00"
us_before_1920s,5,Action,124,1.113737097,138.1034,"$2,339.92","$64,516.13","$62,176.21","$7,709,850.00"
us_current_decade,1,Adventure,945,23.74761997,22441.50087,"$14,126,706.85","$29,308,120.78","$15,181,413.93","$14,346,436,160.00"
us_current_decade,2,Action,2282,16.11173005,36766.96797,"$7,575,709.50","$14,022,282.12","$6,446,572.62","$14,711,078,713.00"
us_current_decade,3,Family,987,12.12477958,11967.15744,"$4,918,537.26","$12,897,686.35","$7,979,149.09","$7,875,420,151.00"
us_current_decade,4,Science Fiction,1562,10.23066849,15980.30419,"$6,762,076.14","$9,821,569.27","$3,059,493.13","$4,778,928,269.00"
us_current_decade,5,Fantasy,1142,10.02318739,11446.48,"$5,846,298.31","$12,172,797.35","$6,326,499.04","$7,224,861,898.00"
